profile,task,N,spearman_rproc_e2e
low_plan,tml_bank_customer_churn_ict_u_ai,336,0.06555821603055907
low_plan,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.22399869956570223
low_plan,tml_playground_series_s5e10,336,0.16102653736178288
low_plan,tml_playground_series_s6e1,336,0.42434350154001027
low_code,bench_cdc_diabetes_health_indicators,336,0.011407783186136135
low_code,bench_lattice_physics,336,0.6561248050192848
low_code,bench_tunadromd,336,0.03487878861607499
low_code,synthetic_classification_known_dgp,336,0.21250629062364418
low_code,synthetic_regression_known_dgp,336,-0.018398913174492465
low_code,tabred_sberbank_housing,336,0.050950524606437134
low_code,tml_bank_customer_churn_ict_u_ai,336,0.07168146006113685
low_code,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.23528190322810896
low_code,tml_playground_series_s5e10,336,0.18672202885347502
low_code,tml_playground_series_s6e1,336,0.457329032436095
performance_solo,bench_cdc_diabetes_health_indicators,336,0.0892476103309691
performance_solo,bench_lattice_physics,336,0.6448549546895841
performance_solo,bench_tunadromd,336,0.11260681230165326
performance_solo,synthetic_classification_known_dgp,336,0.24314412869626434
performance_solo,synthetic_regression_known_dgp,336,-0.025292771992468207
performance_solo,tabred_sberbank_housing,336,0.27885879798735547
performance_solo,tml_bank_customer_churn_ict_u_ai,336,0.08444123110068136
performance_solo,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.2560236529083413
performance_solo,tml_playground_series_s5e10,336,0.21777141108836004
performance_solo,tml_playground_series_s6e1,336,0.4881227543852924
plan_solo,bench_cdc_diabetes_health_indicators,336,0.009724146357170239
plan_solo,bench_lattice_physics,336,0.5298807971885402
plan_solo,bench_tunadromd,336,0.05607756970003805
plan_solo,synthetic_classification_known_dgp,336,0.06450511191324801
plan_solo,synthetic_regression_known_dgp,336,-0.005742761033494441
plan_solo,tabred_sberbank_housing,336,-0.07812504425366552
plan_solo,tml_bank_customer_churn_ict_u_ai,336,0.04882106526022151
plan_solo,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.14905987080412017
plan_solo,tml_playground_series_s5e10,336,0.033327947085879786
plan_solo,tml_playground_series_s6e1,336,0.4027153111538123
code_solo,bench_cdc_diabetes_health_indicators,336,-0.04131514750664272
code_solo,bench_lattice_physics,336,0.02085763540804355
code_solo,bench_tunadromd,336,-0.06174247617632753
code_solo,synthetic_classification_known_dgp,336,0.03563559801324628
code_solo,synthetic_regression_known_dgp,336,-0.016753023043353837
code_solo,tabred_sberbank_housing,336,-0.06394871955310422
code_solo,tml_bank_customer_churn_ict_u_ai,336,0.04967186027596952
code_solo,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.12753287205312477
code_solo,tml_playground_series_s5e10,336,0.04353465027102748
code_solo,tml_playground_series_s6e1,336,0.4023569403351602
without_performance,bench_cdc_diabetes_health_indicators,336,-0.024984005285411722
without_performance,bench_lattice_physics,336,0.3491614091789573
without_performance,bench_tunadromd,336,-0.01722336084593207
without_performance,synthetic_classification_known_dgp,336,0.049215558728200555
without_performance,synthetic_regression_known_dgp,336,-0.021840346824282972
without_performance,tabred_sberbank_housing,336,-0.06190418399340091
without_performance,tml_bank_customer_churn_ict_u_ai,336,0.04810440552082366
without_performance,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.14851909038387703
without_performance,tml_playground_series_s5e10,336,0.027736067802910488
without_performance,tml_playground_series_s6e1,336,0.4131897152960886
without_plan,bench_cdc_diabetes_health_indicators,336,0.07674657040564478
without_plan,bench_lattice_physics,336,0.48127997835300507
without_plan,bench_tunadromd,336,-0.010430173122585141
without_plan,synthetic_classification_known_dgp,336,0.18823288604404026
without_plan,synthetic_regression_known_dgp,336,-0.02665514100119632
without_plan,tabred_sberbank_housing,336,0.007118278288184911
without_plan,tml_bank_customer_churn_ict_u_ai,336,0.06454445569596262
without_plan,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.22605764943461604
without_plan,tml_playground_series_s5e10,336,0.16330785630211647
without_plan,tml_playground_series_s6e1,336,0.42595419702521686
without_code,bench_cdc_diabetes_health_indicators,336,0.01989576997515474
without_code,bench_lattice_physics,336,0.6627955912289167
without_code,bench_tunadromd,336,0.09902132571605819
without_code,synthetic_classification_known_dgp,336,0.20538744622774738
without_code,synthetic_regression_known_dgp,336,-0.02005595554907769
without_code,tabred_sberbank_housing,336,0.021093550634102655
without_code,tml_bank_customer_churn_ict_u_ai,336,0.06533883759340943
without_code,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.2282565941529475
without_code,tml_playground_series_s5e10,336,0.17941087923404567
without_code,tml_playground_series_s6e1,336,0.45686235722797486
swap_performance_code,bench_cdc_diabetes_health_indicators,336,0.03653678371886545
swap_performance_code,bench_lattice_physics,336,0.4590628654146871
swap_performance_code,bench_tunadromd,336,-0.03164009742325976
swap_performance_code,synthetic_classification_known_dgp,336,0.13938957783551845
swap_performance_code,synthetic_regression_known_dgp,336,-0.025103450782100203
swap_performance_code,tabred_sberbank_housing,336,-0.0010364481899008261
swap_performance_code,tml_bank_customer_churn_ict_u_ai,336,0.052130783450813664
swap_performance_code,tml_foot_traffic_wuerzburg_retail_forecasting_2_0,336,0.21063458035236932
swap_performance_code,tml_playground_series_s5e10,336,0.1035841049500706
swap_performance_code,tml_playground_series_s6e1,336,0.401067641456512
